input,output,type,IE
 I was disappointed when my application to the college was rejected., I was disappointed when my application to the college was turned down. ,phrasal_verb,turn down
 The company declined my request for a raise. , The company turned down my request for a raise. ,phrasal_verb,bring up
 The company refused my request for a raise. , The company turned down my request for a raise. ,phrasal_verb,bring up
 The company rejected my request for a raise., The company turned down my request for a raise. ,phrasal_verb,bring up
 I was declined for the job that I really wanted. , I was turned down for the job that I really wanted. ,phrasal_verb,itch for
 I was refused for the job that I really wanted. , I was turned down for the job that I really wanted. ,phrasal_verb,itch for
 I was rejected for the job that I really wanted., I was turned down for the job that I really wanted. ,phrasal_verb,itch for
 My proposal was declined by the city council., My proposal was turned down by the city council.,phrasal_verb,turn down
 My proposal was refused by the city council., My proposal was turned down by the city council.,phrasal_verb,turn down
 My proposal was rejected by the city council., My proposal was turned down by the city council.,phrasal_verb,turn down
He was so angry with his boss that he left the meeting., He was so angry with his boss that he walked out of the meeting.,phrasal_verb,get together
He was so angry with his boss that he departed the meeting., He was so angry with his boss that he walked out of the meeting.,phrasal_verb,get together
He was so angry with his boss that he exited the meeting., He was so angry with his boss that he walked out of the meeting.,phrasal_verb,get together
 She was so fed up with her job that she departed without notice., She was so fed up with her job that she walked out without notice.,phrasal_verb,walk out
 She was so fed up with her job that she exited without notice., She was so fed up with her job that she walked out without notice.,phrasal_verb,walk out
" I've had enough of this relationship, I'm departing."," I've had enough of this relationship, I'm walking out.",phrasal_verb,walk out
" I've had enough of this relationship, I'm exiting."," I've had enough of this relationship, I'm walking out.",phrasal_verb,walk out
 I always rinse my steak with a glass of red wine., I always wash down my steak with a glass of red wine.,phrasal_verb,wash down
 I always cleanse my steak with a glass of red wine., I always wash down my steak with a glass of red wine.,phrasal_verb,wash down
 I always bathe my steak with a glass of red wine., I always wash down my steak with a glass of red wine.,phrasal_verb,wash down
 He rinsed his pills with a glass of water., He washed down his pills with a glass of water.,phrasal_verb,wash down
 He cleansed his pills with a glass of water., He washed down his pills with a glass of water.,phrasal_verb,wash down
 He bathed his pills with a glass of water., He washed down his pills with a glass of water.,phrasal_verb,wash down
 She rinsed down her cake with a cup of coffee. , She washed down her cake with a cup of coffee.,phrasal_verb,wash down
 She cleansed down her cake with a cup of coffee. , She washed down her cake with a cup of coffee.,phrasal_verb,wash down
 She bathed down her cake with a cup of coffee., She washed down her cake with a cup of coffee.,phrasal_verb,wash down
 We always rinse our seafood with a cold beer., We always wash down our seafood with a cold beer.,phrasal_verb,wash down
 We always cleanse our seafood with a cold beer., We always wash down our seafood with a cold beer.,phrasal_verb,wash down
 We always bathe our seafood with a cold beer., We always wash down our seafood with a cold beer.,phrasal_verb,wash down
 The company's decision to dilute the new product's features was met with criticism from customers., The company's decision to water down the new product's features was met with criticism from customers.,phrasal_verb,water down
 The company's decision to thin the new product's features was met with criticism from customers., The company's decision to water down the new product's features was met with criticism from customers.,phrasal_verb,water down
 The company's decision to weak the new product's features was met with criticism from customers., The company's decision to water down the new product's features was met with criticism from customers.,phrasal_verb,water down
 The athlete's injuries forced him to dilute his training regimen., The athlete's injuries forced him to water down his training regimen.,phrasal_verb,water down
 The athlete's injuries forced him to thin his training regimen., The athlete's injuries forced him to water down his training regimen.,phrasal_verb,water down
 The athlete's injuries forced him to weak his training regimen., The athlete's injuries forced him to water down his training regimen.,phrasal_verb,water down
 The government's proposal to dilute environmental regulations was met with protests from environmentalists., The government's proposal to water down environmental regulations was met with protests from environmentalists.,phrasal_verb,water down
 The government's proposal to thin environmental regulations was met with protests from environmentalists., The government's proposal to water down environmental regulations was met with protests from environmentalists.,phrasal_verb,water down
 The government's proposal to weak environmental regulations was met with protests from environmentalists., The government's proposal to water down environmental regulations was met with protests from environmentalists.,phrasal_verb,water down
 The professor's decision to dilute the course material was met with criticism from students., The professor's decision to water down the course material was met with criticism from students.,phrasal_verb,water down
 The professor's decision to thin the course material was met with criticism from students., The professor's decision to water down the course material was met with criticism from students.,phrasal_verb,water down
 The professor's decision to weak the course material was met with criticism from students., The professor's decision to water down the course material was met with criticism from students.,phrasal_verb,water down
" Over time, the constant noise began to exhaust her patience."," Over time, the constant noise began to wear down her patience.",phrasal_verb,wear down
" Over time, the constant noise began to deplete her patience."," Over time, the constant noise began to wear down her patience.",phrasal_verb,wear down
" Over time, the constant noise began to fatigue her patience."," Over time, the constant noise began to wear down her patience.",phrasal_verb,wear down
 The athlete was exhausting his opponents with his non-stop energy., The athlete was wearing down his opponents with his non-stop energy.,phrasal_verb,wear down
 The little girl was quickly exhausting from all the running around. , The little girl was quickly wearing down from all the running around.,phrasal_verb,wear down
 The hot sun was slowly exhausting the energy of the hikers. , The hot sun was slowly wearing down the energy of the hikers.,phrasal_verb,wear down
 The effects of the medication gradually faded., The effects of the medication gradually disappeared.,phrasal_verb,blow over
 The effects of the medication gradually diminished., The effects of the medication gradually disappeared.,phrasal_verb,tone down
 The effects of the medication gradually lessened., The effects of the medication gradually disappeared.,phrasal_verb,blow over
 The medication faded in its effect., The medication no longer had any effect.,phrasal_verb,blow over
 The medication diminished in its effect., The medication no longer had any effect.,phrasal_verb,tone down
 The medication lessened in its effect., The medication no longer had any effect.,phrasal_verb,blow over
 The medication's effects gradually diminished., The medication's effects gradually faded away.,phrasal_verb,tone down
 The medication's effects gradually lessened., The medication's effects gradually faded away.,phrasal_verb,blow over
 The medication's effects gradually faded., The medication's effects gradually faded away.,phrasal_verb,blow over
 The medication's effects slowly faded., The medication's effects slowly wore off.,phrasal_verb,blow over
 The medication's effects slowly diminished., The medication's effects slowly wore off.,phrasal_verb,tone down
 The medication's effects slowly lessened., The medication's effects slowly wore off.,phrasal_verb,blow over
" After a long day of work, I was completely exhausted. "," After a long day of work, I was completely worn out. ",phrasal_verb,wear down
" After a long day of work, I was completely depleted. "," After a long day of work, I was completely worn out. ",phrasal_verb,wear down
" After a long day of work, I was completely fatigued."," After a long day of work, I was completely worn out. ",phrasal_verb,wear down
" I had been running for hours, and my legs were starting to exhaust. "," I had been running for hours, and my legs were starting to wear out. ",phrasal_verb,wear out
" I had been running for hours, and my legs were starting to deplete. "," I had been running for hours, and my legs were starting to wear out. ",phrasal_verb,wear out
" I had been running for hours, and my legs were starting to fatigue."," I had been running for hours, and my legs were starting to wear out. ",phrasal_verb,wear out
" The party went on until the early hours of the morning, and we were all exhausted by the end. "," The party went on until the early hours of the morning, and we were all worn out by the end. ",phrasal_verb,break off
" The party went on until the early hours of the morning, and we were all depleted by the end. "," The party went on until the early hours of the morning, and we were all worn out by the end. ",phrasal_verb,break off
" The party went on until the early hours of the morning, and we were all fatigued by the end."," The party went on until the early hours of the morning, and we were all worn out by the end. ",phrasal_verb,break off
" I don't know how she does it, but after a day of taking care of the kids, she's always exhausted."," I don't know how she does it, but after a day of taking care of the kids, she's always worn out.",phrasal_verb,wear down
" I don't know how she does it, but after a day of taking care of the kids, she's always depleted."," I don't know how she does it, but after a day of taking care of the kids, she's always worn out.",phrasal_verb,wear down
" I don't know how she does it, but after a day of taking care of the kids, she's always fatigued."," I don't know how she does it, but after a day of taking care of the kids, she's always worn out.",phrasal_verb,wear down
 We need to get rid of the bad apples from the bunch., We need to weed out the bad apples from the bunch.,phrasal_verb,weed out
 We need to eliminate the bad apples from the bunch., We need to weed out the bad apples from the bunch.,phrasal_verb,weed out
 We need to purge the bad apples from the bunch., We need to weed out the bad apples from the bunch.,phrasal_verb,weed out
 Getting rid of the weaklings will make us stronger, Weeding out the weaklings will make us stronger.,phrasal_verb,water down
 Eliminating the weaklings will make us stronger, Weeding out the weaklings will make us stronger.,phrasal_verb,water down
 Purging out the weaklings will make us stronger, Weeding out the weaklings will make us stronger.,phrasal_verb,water down
 The best way to get rid of the undesirables is to set high standards., The best way to weed out the undesirables is to set high standards.,phrasal_verb,weed out
 The best way to eliminate the undesirables is to set high standards., The best way to weed out the undesirables is to set high standards.,phrasal_verb,weed out
 The best way to purge the undesirables is to set high standards., The best way to weed out the undesirables is to set high standards.,phrasal_verb,weed out
 The heavy burden of debt weighed down the young couple., The heavy burden of debt weighed down the young couple.,phrasal_verb,weigh down
 The heavy burden of debt burdened the young couple., The heavy burden of debt weighed down the young couple.,phrasal_verb,weigh down
 The heavy burden of debt encumbered the young couple., The heavy burden of debt weighed down the young couple.,phrasal_verb,weigh down
 The heavy burden of debt weighed the young couple., The heavy burden of debt weighed down the young couple.,phrasal_verb,weigh down
 The constant stream of bad news burdened the entire nation., The constant stream of bad news weighed down the entire nation.,phrasal_verb,weigh down
 The constant stream of bad news encumbered the entire nation., The constant stream of bad news weighed down the entire nation.,phrasal_verb,weigh down
 The constant stream of bad news weighed the entire nation., The constant stream of bad news weighed down the entire nation.,phrasal_verb,weigh down
 The secret she had been keeping burdened her conscience. , The secret she had been keeping weighed down her conscience.,phrasal_verb,weigh down
 The secret she had been keeping encumbered her conscience. , The secret she had been keeping weighed down her conscience.,phrasal_verb,weigh down
 The secret she had been keeping weighed her conscience., The secret she had been keeping weighed down her conscience.,phrasal_verb,weigh down
 The memories of his time in war burdened the veteran., The memories of his time in war weighed down the veteran.,phrasal_verb,weigh down
 The memories of his time in war encumbered the veteran., The memories of his time in war weighed down the veteran.,phrasal_verb,weigh down
 The memories of his time in war weighed the veteran., The memories of his time in war weighed down the veteran.,phrasal_verb,weigh down
I'd love to hear your thoughts on this issue - please share!, I'd love to hear your thoughts on this issue - please weigh in!,phrasal_verb,weigh in
 What are your thoughts on this proposal? Please share!, What are your thoughts on this proposal? Please weigh in!,phrasal_verb,weigh in
 I'm looking for input from everyone on this decision - please share!, I'm looking for input from everyone on this decision - please weigh in!,phrasal_verb,weigh in
Can I get your thoughts on this matter? Please share!, Can I get your thoughts on this matter? Please weigh in!,phrasal_verb,weigh in
" Before making a decision, it is important to consider all the options."," Before making a decision, it is important to weigh up all of the options.",phrasal_verb,weigh up
" Before making a decision, it is important to evaluate all the options."," Before making a decision, it is important to weigh up all of the options.",phrasal_verb,weigh up
" Before making a decision, it is important to assess all the options."," Before making a decision, it is important to weigh up all of the options.",phrasal_verb,weigh up
 Make sure to take the time to think about all the possible outcomes before making a choice. , Make sure to take the time to think about all of the possible outcomes before making a choice.,phrasal_verb,water down
 Consider all the possible outcomes before making a choice. , Make sure to take the time to think about all of the possible outcomes before making a choice.,phrasal_verb,weigh up
 Evaluate all the possible outcomes before making a choice. , Make sure to take the time to think about all of the possible outcomes before making a choice.,phrasal_verb,size up
 Assess all the possible outcomes before making a choice., Make sure to take the time to think about all of the possible outcomes before making a choice.,phrasal_verb,size up
 It is crucial to consider all the available information before making a decision. , It is crucial to evaluate all of the available information before making a decision.,phrasal_verb,tip off
 It is crucial to assess all the available information before making a decision. , It is crucial to evaluate all of the available information before making a decision.,phrasal_verb,size up
 It is crucial to evaluate all the available information before making a decision., It is crucial to evaluate all of the available information before making a decision.,phrasal_verb,size up
 I created a storm of trouble when I forgot to do my homework. , I whipped up a storm of trouble when I forgot to do my homework. ,phrasal_verb,dream up
 I prepared a storm of trouble when I forgot to do my homework., I whipped up a storm of trouble when I forgot to do my homework. ,phrasal_verb,whip up
 The chef created a delicious meal for us to enjoy. , The chef whipped up a delicious meal for us to enjoy. ,phrasal_verb,dream up
 The chef prepared a delicious meal for us to enjoy., The chef whipped up a delicious meal for us to enjoy. ,phrasal_verb,whip up
 The magician created a rabbit out of his hat. , The magician whipped up a rabbit out of his hat. ,phrasal_verb,dream up
 The magician prepared a rabbit out of his hat., The magician whipped up a rabbit out of his hat. ,phrasal_verb,whip up
 The politician tried to create support for his controversial policies., The politician tried to whip up support for his controversial policies.,phrasal_verb,whip up
 The politician tried to make support for his controversial policies., The politician tried to whip up support for his controversial policies.,phrasal_verb,whip up
 The politician tried to prepare support for his controversial policies., The politician tried to whip up support for his controversial policies.,phrasal_verb,whip up
 He was determined to regain her trust., He was determined to win back her trust.,phrasal_verb,win back
 He was determined to recover her trust., He was determined to win back her trust.,phrasal_verb,win back
 He was determined to reacquire her trust., He was determined to win back her trust.,phrasal_verb,win back
 They worked hard to regain their customers., They worked hard to win back their customers.,phrasal_verb,win back
 They worked hard to recover their customers., They worked hard to win back their customers.,phrasal_verb,win back
 They worked hard to reacquire their customers., They worked hard to win back their customers.,phrasal_verb,win back
 She was hoping to regain his affections., She was hoping to win back his affections.,phrasal_verb,win back
 She was hoping to recover his affections., She was hoping to win back his affections.,phrasal_verb,win back
 She was hoping to reacquire his affections., She was hoping to win back his affections.,phrasal_verb,win back
 The company is trying to regain its reputation., The company is trying to win back its reputation.,phrasal_verb,win back
 The company is trying to recover its reputation., The company is trying to win back its reputation.,phrasal_verb,win back
 The company is trying to reacquire its reputation., The company is trying to win back its reputation.,phrasal_verb,win back
 We will be relaxing our operations in the next few months., We will be winding down our operations in the next few months.,phrasal_verb,cool off
 We will be unwinding our operations in the next few months., We will be winding down our operations in the next few months.,phrasal_verb,wind down
 We will be de-stressing our operations in the next few months., We will be winding down our operations in the next few months.,phrasal_verb,wind down
" I need to relax before bed, or I'll never get to sleep.", I need to wind down before bed or I'll never get to sleep.,phrasal_verb,wind down
" I need to unwind before bed, or I'll never get to sleep.", I need to wind down before bed or I'll never get to sleep.,phrasal_verb,wind down
" I need to de-stress before bed, or I'll never get to sleep.", I need to wind down before bed or I'll never get to sleep.,phrasal_verb,wind down
 The party was relaxing and people were starting to leave., The party was winding down and people were starting to leave.,phrasal_verb,cool off
 The party was unwinding and people were starting to leave., The party was winding down and people were starting to leave.,phrasal_verb,kick off
 The party was de-stressing and people were starting to leave., The party was winding down and people were starting to leave.,phrasal_verb,kick off
 We relaxed our conversation and said goodbye., We wound down our conversation and said goodbye.,phrasal_verb,cool off
 We de-stressed our conversation and said goodbye., We wound down our conversation and said goodbye.,phrasal_verb,wind down
 We will end this meeting in five minutes., We will wind up this meeting in five minutes.,phrasal_verb,wind up
 We will finish this meeting in five minutes., We will wind up this meeting in five minutes.,phrasal_verb,wind up
 We will conclusion this meeting in five minutes., We will wind up this meeting in five minutes.,phrasal_verb,wind up
 I think we should end our discussion now., I think we should wind up our discussion now.,phrasal_verb,wind up
 I think we should finish our discussion now., I think we should wind up our discussion now.,phrasal_verb,wind up
 I think we should conclusion our discussion now., I think we should wind up our discussion now.,phrasal_verb,wind up
 Let's end this project by the end of the week., Let's wind up this project by the end of the week.,phrasal_verb,wind up
 Let's finish this project by the end of the week., Let's wind up this project by the end of the week.,phrasal_verb,wind up
 Lets conclusion this project by the end of the week., Let's wind up this project by the end of the week.,phrasal_verb,wind up
 We need to end this conversation soon., We need to wind up this conversation soon.,phrasal_verb,wind up
 We need to finish this conversation soon., We need to wind up this conversation soon.,phrasal_verb,wind up
 We need to conclusion this conversation soon., We need to wind up this conversation soon.,phrasal_verb,wind up
 It's time to understand and realize that we're not going to win this game., It's time to wise up and realize that we're not going to win this game.,phrasal_verb,wise up
 It's time to accept and realize that we're not going to win this game., It's time to wise up and realize that we're not going to win this game.,phrasal_verb,wise up
 I'm tired of having to understand to your tricks., I'm tired of having to wise up to your tricks.,phrasal_verb,wise up
 I'm tired of having to accept to your tricks., I'm tired of having to wise up to your tricks.,phrasal_verb,wise up
"If you don't understand, you're going to fail this class."," If you don't wise up, you're going to fail this class.",phrasal_verb,wise up
"If you don't accept, you're going to fail this class."," If you don't wise up, you're going to fail this class.",phrasal_verb,wise up
 It's about time you understood and started acting your age. , It's about time you wised up and started acting your age.,phrasal_verb,kick off
 It's about time you accepted and started acting your age., It's about time you wised up and started acting your age.,phrasal_verb,kick off
 Mark's plan to lose weight by resolving for two hours every day didn't resolve. , Mark's plan to lose weight by working out for two hours every day didn't work out.,phrasal_verb,work out
 Mark's plan to lose weight by working out for two hours every day didn't work., Mark's plan to lose weight by working out for two hours every day didn't work out.,phrasal_verb,work out
 Mark's plan to resolve didn't resolve the way he wanted it to., Mark's plan to work out didn't work out the way he wanted it to.,phrasal_verb,work out
 Mark's plan to resolve and lose weight didn't work out., Mark's plan to work out and lose weight didn't work out.,phrasal_verb,work out
 Mark's plan to resolve didn't resolve the way he had hoped., Mark's plan to work out didn't work out the way he had hoped.,phrasal_verb,work out
 We need to finish this project by the end of the week., We need to wrap up this project by the end of the week.,phrasal_verb,wrap up
 We need to complete this project by the end of the week., We need to wrap up this project by the end of the week.,phrasal_verb,wrap up
 We need to end this project by the end of the week., We need to wrap up this project by the end of the week.,phrasal_verb,wrap up
 I'm going to finish my work and head home for the day., I'm going to wrap up my work and head home for the day.,phrasal_verb,wrap up
 I'm going to complete my work and head home for the day., I'm going to wrap up my work and head home for the day.,phrasal_verb,wrap up
 I'm going to end my work and head home for the day., I'm going to wrap up my work and head home for the day.,phrasal_verb,wrap up
" Let's finish this meeting, so we can all get back to work.", Let's wrap up this meeting so we can all get back to work.,phrasal_verb,wrap up
" Let's complete this meeting, so we can all get back to work.", Let's wrap up this meeting so we can all get back to work.,phrasal_verb,wrap up
" Let's end this meeting, so we can all get back to work.", Let's wrap up this meeting so we can all get back to work.,phrasal_verb,wrap up
" We're almost done, so let's finish this last section."," We're almost done, so let's wrap up this last section.",phrasal_verb,wrap up
" We're almost done, so let's complete this last section."," We're almost done, so let's wrap up this last section.",phrasal_verb,wrap up
" We're almost done, so let's end this last section."," We're almost done, so let's wrap up this last section.",phrasal_verb,wrap up
" I'm sorry, but I'm going to have to cancel you as a lost cause. "," I'm sorry, but I'm going to have to write you off as a lost cause. ",phrasal_verb,back out of
" I'm sorry, but I'm going to have to delete you as a lost cause. "," I'm sorry, but I'm going to have to write you off as a lost cause. ",phrasal_verb,culminate in
" I'm sorry, but I'm going to have to erase you as a lost cause."," I'm sorry, but I'm going to have to write you off as a lost cause. ",phrasal_verb,culminate in
" I've tried to help you, but I can't keep doing this. I'm cancelling you. "," I've tried to help you, but I can't keep doing this. I'm writing you off. ",phrasal_verb,back out of
 I can't keep helping you when you don't even try to help yourself. You're canceled. , I can't keep helping you when you don't even try to help yourself. You're written off. ,phrasal_verb,back out of
 I can't keep helping you when you don't even try to help yourself. You're deleted. , I can't keep helping you when you don't even try to help yourself. You're written off. ,phrasal_verb,knuckle down
 I can't keep helping you when you don't even try to help yourself. You're erased., I can't keep helping you when you don't even try to help yourself. You're written off. ,phrasal_verb,knuckle down
 I've had enough. You're on your own from now on. I'm cancelling you., I've had enough. You're on your own from now on. I'm writing you off.,phrasal_verb,back out of
 I need to focus on my work if I want to get this project done on time., I need to zero in on my work if I want to get this project done on time.,phrasal_verb,zero in on
 I need to concentrate on my work if I want to get this project done on time., I need to zero in on my work if I want to get this project done on time.,phrasal_verb,zero in on
 The police are focusing on the suspect in the robbery. , The police are zeroing in on the suspect in the robbery.,phrasal_verb,break into
 The police are concentrating on the suspect in the robbery., The police are zeroing in on the suspect in the robbery.,phrasal_verb,break into
 The teacher focused on the student who was not paying attention in class. , The teacher zeroed in on the student who was not paying attention in class.,phrasal_verb,gear towards
 I am going to focus on my diet and start eating healthier., I am going to zero in on my diet and start eating healthier.,phrasal_verb,zero in on
 I am going to concentrate on my diet and start eating healthier., I am going to zero in on my diet and start eating healthier.,phrasal_verb,zero in on
 I need to run around the block before the sun sets. , I need to zip around the block before the sun sets. ,phrasal_verb,zip around
 I need to race the block before the sun sets. , I need to zip around the block before the sun sets. ,phrasal_verb,zip around
 Dashing around the city is my favorite way to get exercise., Zipping around the city is my favorite way to get exercise. ,phrasal_verb,zip around
 I can't wait to explore Europe on my motorcycle. , I can't wait to zip around Europe on my motorcycle. ,phrasal_verb,zip around
" After I retire, I'm going to explore world in my sailboat."," After I retire, I'm going to zip around the world in my sailboat.",phrasal_verb,zip around
 The company's new product launch is in conflict with its stated goal of reducing its carbon footprint., the company's new product launch is at odds with its stated goal of reducing its carbon footprint.,prepositional_phrase,at odds with
 The company's new product launch is in disagreement with its stated goal of reducing its carbon footprint., the company's new product launch is at odds with its stated goal of reducing its carbon footprint.,prepositional_phrase,at odds with
 The company's new product launch is at loggerheads with its stated goal of reducing its carbon footprint., the company's new product launch is at odds with its stated goal of reducing its carbon footprint.,prepositional_phrase,at odds with
 The government's decision to increase military spending is in conflict with its promise to reduce the deficit., the government's decision to increase military spending is at odds with its promise to reduce the deficit.,prepositional_phrase,at odds with
 The government's decision to increase military spending is in disagreement with its promise to reduce the deficit., the government's decision to increase military spending is at odds with its promise to reduce the deficit.,prepositional_phrase,at odds with
 The government's decision to increase military spending is at loggerheads with its promise to reduce the deficit., the government's decision to increase military spending is at odds with its promise to reduce the deficit.,prepositional_phrase,at odds with
 The athlete's use of performance-enhancing drugs is in conflict with the spirit of the sport., the athlete's use of performance-enhancing drugs is at odds with the spirit of the sport.,prepositional_phrase,at odds with
 The athlete's use of performance-enhancing drugs is in disagreement with the spirit of the sport., the athlete's use of performance-enhancing drugs is at odds with the spirit of the sport.,prepositional_phrase,at odds with
 The athlete's use of performance-enhancing drugs is at loggerheads with the spirit of the sport., the athlete's use of performance-enhancing drugs is at odds with the spirit of the sport.,prepositional_phrase,at odds with
 The couple's decision to have a third child is in conflict with their financial situation., the couple's decision to have a third child is at odds with their financial situation.,prepositional_phrase,at odds with
 The couple's decision to have a third child is in disagreement with their financial situation., the couple's decision to have a third child is at odds with their financial situation.,prepositional_phrase,at odds with
 The couple's decision to have a third child is at loggerheads with their financial situation., the couple's decision to have a third child is at odds with their financial situation.,prepositional_phrase,at odds with
" To the detriment of her own happiness, she decided to stay in the abusive relationship."," at the expense of her own happiness, she decided to stay in the abusive relationship.",prepositional_phrase,at the expense of
" At the cost of her own happiness, she decided to stay in the abusive relationship."," at the expense of her own happiness, she decided to stay in the abusive relationship.",prepositional_phrase,at the expense of
" To the detriment of her own happiness, she decided to stay in the abusive relationship."," at the expense of her own happiness, she decided to stay in the abusive relationship.",prepositional_phrase,at the expense of
" To the detriment of his own sanity, he decided to take the job."," at the expense of his own sanity, he decided to take the job.",prepositional_phrase,at the expense of
" At the cost of his own sanity, he decided to take the job."," at the expense of his own sanity, he decided to take the job.",prepositional_phrase,at the expense of
" To the detriment of his own sanity, he decided to take the job."," at the expense of his own sanity, he decided to take the job.",prepositional_phrase,at the expense of
" To the detriment of her own health, she decided to keep working."," at the expense of her own health, she decided to keep working.",prepositional_phrase,at the expense of
" At the cost of her own health, she decided to keep working."," at the expense of her own health, she decided to keep working.",prepositional_phrase,at the expense of
" To the detriment of her own health, she decided to keep working."," at the expense of her own health, she decided to keep working.",prepositional_phrase,at the expense of
" To the detriment of his own safety, he decided to go into the dangerous neighborhood."," at the expense of his own safety, he decided to go into the dangerous neighborhood.",prepositional_phrase,at the expense of
" At the cost of his own safety, he decided to go into the dangerous neighborhood."," at the expense of his own safety, he decided to go into the dangerous neighborhood.",prepositional_phrase,at the expense of
" To the detriment of his own safety, he decided to go into the dangerous neighborhood."," at the expense of his own safety, he decided to go into the dangerous neighborhood.",prepositional_phrase,at the expense of
 The two rivals were at odds from the moment they met., the two rivals were at daggers drawn from the moment they met.,prepositional_phrase,at daggers drawn
 The two rivals were at loggerheads from the moment they met., the two rivals were at daggers drawn from the moment they met.,prepositional_phrase,at daggers drawn
" In the end, we will all be dead."," in the long run, we will all be dead.",prepositional_phrase,in the long run
" Eventually, we will all be dead."," in the long run, we will all be dead.",prepositional_phrase,in the long run
" In time, we will all be dead."," in the long run, we will all be dead.",prepositional_phrase,in the long run
" In the end, the sun will burn out."," in the long run, the sun will burn out.",prepositional_phrase,in the long run
" Eventually, the sun will burn out."," in the long run, the sun will burn out.",prepositional_phrase,in the long run
" In time, the sun will burn out."," in the long run, the sun will burn out.",prepositional_phrase,in the long run
" In the end, the universe will end."," in the long run, the universe will end.",prepositional_phrase,in the long run
" Eventually, the universe will end."," in the long run, the universe will end.",prepositional_phrase,in the long run
" In time, the universe will end."," in the long run, the universe will end.",prepositional_phrase,in the long run
" In the end, everything will be forgotten."," in the long run, everything will be forgotten.",prepositional_phrase,in the long run
" Eventually, everything will be forgotten."," in the long run, everything will be forgotten.",prepositional_phrase,in the long run
" In time, everything will be forgotten."," in the long run, everything will be forgotten.",prepositional_phrase,in the long run
 The kitchen was disorganized after the party., the kitchen was in disarray after the party.,prepositional_phrase,in disarray
 The kitchen was chaotic after the party., the kitchen was in disarray after the party.,prepositional_phrase,in disarray
 The kitchen was messy after the party., the kitchen was in disarray after the party.,prepositional_phrase,in disarray
 The desk was disorganized after the papers were thrown on it., the desk was in disarray after the papers were thrown on it.,prepositional_phrase,in disarray
 The desk was chaotic after the papers were thrown on it., the desk was in disarray after the papers were thrown on it.,prepositional_phrase,in disarray
 The desk was messy after the papers were thrown on it., the desk was in disarray after the papers were thrown on it.,prepositional_phrase,in disarray
 The closet was disorganized after the clothes were taken out., the closet was in disarray after the clothes were taken out.,prepositional_phrase,in disarray
 The closet was chaotic after the clothes were taken out., the closet was in disarray after the clothes were taken out.,prepositional_phrase,in disarray
 The closet was messy after the clothes were taken out., the closet was in disarray after the clothes were taken out.,prepositional_phrase,in disarray
 The room was disorganized after the furniture was moved., the room was in disarray after the furniture was moved.,prepositional_phrase,in disarray
 The room was chaotic after the furniture was moved., the room was in disarray after the furniture was moved.,prepositional_phrase,in disarray
 The room was messy after the furniture was moved., the room was in disarray after the furniture was moved.,prepositional_phrase,in disarray
" The rent is due on the first of the month, and any payments made after that date are considered to be behind."," the rent is due on the first of the month, and any payments made after that date are considered to be in arrears.",prepositional_phrase,in arrears
" The rent is due on the first of the month, and any payments made after that date are considered to be overdue."," the rent is due on the first of the month, and any payments made after that date are considered to be in arrears.",prepositional_phrase,in arrears
" The rent is due on the first of the month, and any payments made after that date are considered to be late."," the rent is due on the first of the month, and any payments made after that date are considered to be in arrears.",prepositional_phrase,in arrears
" If you are more than two weeks behind, your account will be subject to a late fee."," if you are more than two weeks in arrears, your account will be subject to a late fee.",prepositional_phrase,in arrears
" If you are more than two weeks overdue, your account will be subject to a late fee."," if you are more than two weeks in arrears, your account will be subject to a late fee.",prepositional_phrase,in arrears
" If you are more than two weeks late, your account will be subject to a late fee."," if you are more than two weeks in arrears, your account will be subject to a late fee.",prepositional_phrase,in arrears
" If you are behind, you may be required to pay interest on the outstanding balance."," if you are in arrears, you may be required to pay interest on the outstanding balance.",prepositional_phrase,in arrears
" If you are overdue, you may be required to pay interest on the outstanding balance."," if you are in arrears, you may be required to pay interest on the outstanding balance.",prepositional_phrase,in arrears
" If you are late, you may be required to pay interest on the outstanding balance."," if you are in arrears, you may be required to pay interest on the outstanding balance.",prepositional_phrase,in arrears
" If you are behind, you may be subject to legal action."," if you are in arrears, you may be subject to legal action.",prepositional_phrase,in arrears
" If you are overdue, you may be subject to legal action."," if you are in arrears, you may be subject to legal action.",prepositional_phrase,in arrears
" If you are late, you may be subject to legal action."," if you are in arrears, you may be subject to legal action.",prepositional_phrase,in arrears
" Together, they sang the national anthem."," in unison, they sang the national anthem.",prepositional_phrase,in unison
" In agreement, they sang the national anthem."," in unison, they sang the national anthem.",prepositional_phrase,in unison
" In harmony, they sang the national anthem."," in unison, they sang the national anthem.",prepositional_phrase,in unison
" Together, they bowed their heads in prayer."," in unison, they bowed their heads in prayer.",prepositional_phrase,in unison
" In agreement, they bowed their heads in prayer."," in unison, they bowed their heads in prayer.",prepositional_phrase,in unison
" In harmony, they bowed their heads in prayer."," in unison, they bowed their heads in prayer.",prepositional_phrase,in unison
" Together, they raised their fists in the air."," in unison, they raised their fists in the air.",prepositional_phrase,in unison
" In agreement, they raised their fists in the air."," in unison, they raised their fists in the air.",prepositional_phrase,in unison
" In harmony, they raised their fists in the air."," in unison, they raised their fists in the air.",prepositional_phrase,in unison
" Together, they jumped up and down in excitement."," in unison, they jumped up and down in excitement.",prepositional_phrase,in unison
" In agreement, they jumped up and down in excitement."," in unison, they jumped up and down in excitement.",prepositional_phrase,in unison
